nom,image,ville,date,nature d'annonce,prix
 Rover -1998 ,https://www.avito.ma/thumbs/96/9651088664.jpg,Marrakech,4 Fév,Annonce de professionnel,13 000
 fiat ono -1997 ,https://www.avito.ma/thumbs/96/9677266996.jpg,El Kelâa des Sraghna,4 Fév,Annonce de professionnel,13 000
 Yamaha aerox -2011 ,https://www.avito.ma/thumbs/12/1231374498.jpg,Fès,4 Fév,Annonce de professionnel,13 000
 Top moto ,https://www.avito.ma/thumbs/96/9667350636.jpg,Fès,4 Fév,Annonce de professionnel,13 000
 Benelli -2015 ,https://www.avito.ma/thumbs/96/9644436872.jpg,Guelmim,4 Fév,Annonce de professionnel,13 000
 Peugeot -1985 ,https://www.avito.ma/thumbs/92/9239487671.jpg,Marrakech,31 Jan,Annonce de professionnel,13 000
 Moto bws na9iya sans blaka -2015 ,https://www.avito.ma/thumbs/84/8420541184.jpg,Marrakech,23 Jan,Annonce de professionnel,13 000
 moto ba9i nadi -2018 ,https://www.avito.ma/thumbs/83/8381863549.jpg,Marrakech,22 Jan,Annonce de professionnel,13 000
 stunt Mbk -2015 ,https://www.avito.ma/thumbs/83/8362445321.jpg,Casablanca,22 Jan,Annonce de professionnel,13 000
 golf 1 esance modèle 84 -1984 ,https://www.avito.ma/thumbs/72/7257814189.jpg,Salé,11 Jan,Annonce de professionnel,13 000
 Renault Super 5 -1987 ,https://www.avito.ma/thumbs/72/7224770567.jpg,Bouznika,10 Jan,Annonce de professionnel,13 000
 MBK YAMAHA STUNT LIMITED EDITION NAKED -2016 ,https://www.avito.ma/thumbs/67/6726462982.jpg,Laâyoune,6 Jan,Annonce de professionnel,13 000
 Peugeot tweet 125 -2011 ,https://www.avito.ma/thumbs/78/7823904071.jpg,Casablanca,17 Jan,Annonce de professionnel,13 000
 Renault -1985 ,https://www.avito.ma/thumbs/77/7775116193.jpg,Salé,16 Jan,Annonce de professionnel,13 000
 salam 3andi had moto mazal n9i libghah marhba -2018 ,https://www.avito.ma/thumbs/54/5421599901.jpg,Imintanoute,24 Déc,Annonce de professionnel,13 000
 uno fiat -1985 ,https://www.avito.ma/thumbs/53/5328228032.jpg,Meknès,24 Déc,Annonce de professionnel,13 000
 benelli vlk -2015 ,https://www.avito.ma/thumbs/87/8760880681.jpg,Fès,18 Oct,Annonce de professionnel,13 000
 Moto honda cb250n nighthawks -1991 ,https://www.avito.ma/thumbs/71/7125409806.jpg,Agadir,2 Oct,Annonce de professionnel,13 000
 Yamaha trois -2012 ,https://www.avito.ma/thumbs/17/1791214759.jpg,Marrakech,25 Fév,Annonce de professionnel,13 500
 benelli vlx 150 -2019 ,https://www.avito.ma/thumbs/09/0907160680.jpg,Marrakech,24 Fév,Annonce de professionnel,13 500
 top moto -2017 ,https://www.avito.ma/thumbs/16/1633984045.jpg,Meknès,24 Fév,Annonce de professionnel,13 500
 Uno -1986 ,https://www.avito.ma/thumbs/61/6143332592.jpg,Agadir,31 Déc,Annonce de professionnel,13 000
 Yamaha Ybr 125 -2012 ,https://www.avito.ma/thumbs/96/9668538454.jpg,Nador,4 Fév,Annonce de professionnel,13 500
 scott spark 29 carbon ,https://www.avito.ma/thumbs/96/9627758324.jpg,Tétouan,4 Fév,Annonce de professionnel,13 700
 Triporteur jdida -2020 ,https://www.avito.ma/thumbs/36/3637983573.jpg,Oujda,15 Mar,Annonce de professionnel,14 000
 Benelli 2019 -2018 ,https://www.avito.ma/thumbs/85/8578103945.jpg,Rabat,24 Jan,Annonce de professionnel,13 700
 SYM FIDDLE 2 (4ans Garantie) -2020 ,https://www.avito.ma/thumbs/38/3844192983.jpg,Casablanca,17 Mar,Annonce de professionnel,13 800
 Yamaha mbk stunt -2015 ,https://www.avito.ma/thumbs/30/3080466477.jpg,Agadir,9 Mar,Annonce de professionnel,13 800
 الدار البيضاء -2014 ,https://www.avito.ma/thumbs/96/9689003332.jpg,Casablanca,4 Fév,Annonce de professionnel,13 800
 Casablanca -2014 ,https://www.avito.ma/thumbs/96/9615140411.jpg,Casablanca,4 Fév,Annonce de professionnel,13 800
 nitro naked -2012 ,https://www.avito.ma/thumbs/36/3699898805.jpg,Meknès,15 Mar,Annonce de professionnel,14 000
 Vente Vespa XL -2012 ,https://www.avito.ma/thumbs/29/2980114937.jpg,Tanger,8 Mar,Annonce de professionnel,14 000
 سناك تريبورتور -2016 ,https://www.avito.ma/thumbs/23/2310873887.jpg,Marrakech,2 Mar,Annonce de professionnel,14 000
 Peugeot 309 -1987 ,https://www.avito.ma/thumbs/13/1353915943.jpg,Casablanca,21 Fév,Annonce de professionnel,14 000
 triporteur docker -2015 ,https://www.avito.ma/thumbs/91/9121671875.jpg,Jorf El Melha,30 Jan,Annonce de professionnel,14 000
 Triporteur -2018 ,https://www.avito.ma/thumbs/91/9123519680.jpg,Fès,30 Jan,Annonce de professionnel,14 000
 Fiat uno meliha -1988 ,https://www.avito.ma/thumbs/69/6913646957.jpg,Casablanca,8 Jan,Annonce de professionnel,14 000
 Moto sachs -2009 ,https://www.avito.ma/thumbs/69/6926423691.jpg,Khemisset,8 Jan,Annonce de professionnel,14 000
 triporteur -2016 ,https://www.avito.ma/thumbs/56/5698396263.jpg,Casablanca,26 Déc,Annonce de professionnel,14 000
 netro mliha mkrosa -2012 ,https://www.avito.ma/thumbs/54/5405272954.jpg,Fquih Ben Saleh,24 Déc,Annonce de professionnel,14 000
 Neos comme neuf -2017 ,https://www.avito.ma/thumbs/54/5439310572.jpg,Marrakech,24 Déc,Annonce de professionnel,14 000
 Noes yamaha -2014 ,https://www.avito.ma/thumbs/86/8620827749.jpg,Marrakech,25 Jan,Annonce de professionnel,14 500
 Aprilia sr 50cc -2019 ,https://www.avito.ma/thumbs/83/8372402934.jpg,Salé,22 Jan,Annonce de professionnel,14 500
 Suzuki Bergman -2012 ,https://www.avito.ma/thumbs/82/8242652873.jpg,Ouled Teïma,21 Jan,Annonce de professionnel,14 500
 Neos Yamaha -2015 ,https://www.avito.ma/thumbs/82/8267713450.jpg,Marrakech,21 Jan,Annonce de professionnel,14 500
 vw touran 11/2010 -2011 ,https://www.avito.ma/thumbs/83/8394254662.jpg,Nador,22 Jan,Annonce de professionnel,14 900
 Bulk 50cc -2019 ,https://www.avito.ma/thumbs/87/8760505358.jpg,Casablanca,Aujourd'hui,Annonce de professionnel,14 990
 Cimati bulk 49cc ww -2019 ,https://www.avito.ma/thumbs/53/5388389275.jpg,Casablanca,14 Mar,Annonce de professionnel,14 990
 Logik keway sh -2017 ,https://www.avito.ma/thumbs/25/2571165969.jpg,Casablanca,4 Mar,Annonce de professionnel,15 000
 Renault R18 -1986 ,https://www.avito.ma/thumbs/25/2548658483.jpg,Sidi Slimane,4 Mar,Annonce de professionnel,15 000
 fiat -1989 ,https://www.avito.ma/thumbs/01/0116824922.jpg,Temara,9 Fév,Annonce de professionnel,15 000
 moto -2018 ,https://www.avito.ma/thumbs/01/0156374939.jpg,Marrakech,9 Fév,Annonce de professionnel,15 000
 YAMAHA majesty -2004 ,https://www.avito.ma/thumbs/01/0127692002.jpg,Agadir,9 Fév,Annonce de professionnel,15 000
 golf 1 -1989 ,https://www.avito.ma/thumbs/98/9892296588.jpg,Tifelt,6 Fév,Annonce de professionnel,15 000
 super 5 diesel -1986 ,https://www.avito.ma/thumbs/76/7652176745.jpg,Casablanca,15 Jan,Annonce de professionnel,15 000
 Renault -1990 ,https://www.avito.ma/thumbs/04/0433574392.jpg,El Jadida,12 Fév,Annonce de professionnel,15 000
 bergmal ba9i mazyan -2010 ,https://www.avito.ma/thumbs/57/5729998236.jpg,Kénitra,27 Déc,Annonce de professionnel,15 000
 jante Porsche ,https://www.avito.ma/thumbs/54/5452862716.jpg,Tanger,24 Déc,Annonce de professionnel,15 000
 Fiat -1993 ,https://www.avito.ma/thumbs/57/5790899857.jpg,Marrakech,27 Déc,Annonce de professionnel,15 000
 uno45 -1986 ,https://www.avito.ma/thumbs/57/5740431209.jpg,Marrakech,27 Déc,Annonce de professionnel,15 000
 R5 Renault -1983 ,https://www.avito.ma/thumbs/57/5704445810.jpg,Tiznit,27 Déc,Annonce de professionnel,15 000
 R5 renault -1983 ,https://www.avito.ma/thumbs/57/5749911439.jpg,Tiznit,27 Déc,Annonce de professionnel,15 000
 xmax -2017 ,https://www.avito.ma/thumbs/95/9537152002.jpg,Ain Aouda,3 Fév,Annonce de professionnel,15 000
 Super 5 -1991 ,https://www.avito.ma/thumbs/48/4811210570.jpg,Ouazzane,18 Déc,Annonce de professionnel,15 000
 205 Peugeot -1992 ,https://www.avito.ma/thumbs/95/9559461559.jpg,Temara,3 Fév,Annonce de professionnel,15 000
 205 Peugeot -1992 ,https://www.avito.ma/thumbs/95/9567672446.jpg,Temara,3 Fév,Annonce de professionnel,15 000
 jwant Ford original ,https://www.avito.ma/thumbs/48/4859060171.jpg,El Jadida,18 Déc,Annonce de professionnel,15 000
 troi khyofa -2015 ,https://www.avito.ma/thumbs/30/3017174693.jpg,Marrakech,9 Mar,Annonce de professionnel,15 500
 Honda bros 125 -2005 ,https://www.avito.ma/thumbs/31/3143846867.jpg,Casablanca,1 Déc,Annonce de professionnel,15 900
 Peugeot 309 -1992 ,https://www.avito.ma/thumbs/49/4961137317.jpg,Meknès,Aujourd'hui,Annonce de professionnel,16 000
 Vespa ,https://www.avito.ma/thumbs/28/2886257410.jpg,Casablanca,7 Mar,Annonce de professionnel,16 000
 yamaha trois -2016 ,https://www.avito.ma/thumbs/77/7769087181.jpg,Taroudant,16 Jan,Annonce de professionnel,16 000
 aprilia sr 50cc -2012 ,https://www.avito.ma/thumbs/77/7736331288.jpg,Rabat,16 Jan,Annonce de professionnel,16 000
 Fiat uno diesel module 84 dewana 92 -1984 ,https://www.avito.ma/thumbs/68/6839970686.jpg,Casablanca,7 Jan,Annonce de professionnel,16 000
 slm -2015 ,https://www.avito.ma/thumbs/68/6843768356.jpg,Fès,7 Jan,Annonce de professionnel,16 000
 Yamaha stunt -2016 ,https://www.avito.ma/thumbs/58/5804740650.jpg,Marrakech,28 Déc,Annonce de professionnel,16 000
 Uno -2005 ,https://www.avito.ma/thumbs/54/5470630148.jpg,Salé,24 Déc,Annonce de professionnel,16 000
 Aerox -2014 ,https://www.avito.ma/thumbs/53/5336688460.jpg,Kénitra,24 Déc,Annonce de professionnel,16 000
 hyundai -2002 ,https://www.avito.ma/thumbs/08/0890859600.jpg,Casablanca,16 Fév,Annonce de professionnel,16 000
 Bmw324 -1986 ,https://www.avito.ma/thumbs/00/0023341737.jpg,Zemamra,8 Fév,Annonce de professionnel,16 000
 troi neuf 7ebba -2012 ,https://www.avito.ma/thumbs/08/0820040577.jpg,Marrakech,16 Fév,Annonce de professionnel,16 000
 troi 7ebba -2012 ,https://www.avito.ma/thumbs/08/0804573630.jpg,Marrakech,16 Fév,Annonce de professionnel,16 000
 Renault -1991 ,https://www.avito.ma/thumbs/99/9954811859.jpg,Rabat,7 Fév,Annonce de professionnel,16 000
 ZODIAC NEUF ,https://www.avito.ma/thumbs/03/0398342826.jpg,Nador,7 Fév,Annonce de professionnel,16 000
 Fiat -1985 ,https://www.avito.ma/thumbs/99/9967808282.jpg,Tanger,7 Fév,Annonce de professionnel,16 000
 فياط اونو -1985 ,https://www.avito.ma/thumbs/98/9892782246.jpg,Tanger,7 Fév,Annonce de professionnel,16 000
 Vespa s 4t -2014 ,https://www.avito.ma/thumbs/32/3212487049.jpg,Tétouan,11 Mar,Annonce de professionnel,16 500
 Yamaha neos -2015 ,https://www.avito.ma/thumbs/90/9025788229.jpg,Marrakech,29 Jan,Annonce de professionnel,16 500
 N’eos YAMAHA -2015 ,https://www.avito.ma/thumbs/30/3049527434.jpg,Marrakech,9 Mar,Annonce de professionnel,16 500
 yamaha 125 -2019 ,https://www.avito.ma/thumbs/45/4566119801.jpg,Mohammedia,24 Mar,Annonce de professionnel,17 000
 ماكينة حرث زراعية خيل13 مازوط ,https://www.avito.ma/thumbs/34/3459884890.jpg,Casablanca,13 Mar,Annonce de professionnel,17 000
 Ford ESCORT Essence -1994 ,https://www.avito.ma/thumbs/34/3455985160.jpg,Oujda,13 Mar,Annonce de professionnel,17 000
 Yamaha ybr 125cc -2015 ,https://www.avito.ma/thumbs/29/2933146974.jpg,Marrakech,8 Mar,Annonce de professionnel,17 000
 Suzuki baleno essence -2001 ,https://www.avito.ma/thumbs/18/1877956413.jpg,Casablanca,26 Fév,Annonce de professionnel,17 000
 renault 21 -1990 ,https://www.avito.ma/thumbs/98/9886132538.jpg,Oujda,6 Fév,Annonce de professionnel,17 000
 اموني -2020 ,https://www.avito.ma/thumbs/12/1254940955.jpg,Safi,20 Fév,Annonce de professionnel,17 000
 Honda -1988 ,https://www.avito.ma/thumbs/12/1283746609.jpg,Tanger,20 Fév,Annonce de professionnel,17 000
 205 مليحة -1987 ,https://www.avito.ma/thumbs/83/8310418681.jpg,Meknès,22 Jan,Annonce de professionnel,17 000
 Renault r18 break diesel -1983 ,https://www.avito.ma/thumbs/75/7517526706.jpg,Casablanca,14 Jan,Annonce de professionnel,17 000
 Yamaha trois3 lhabat 08 -2018 ,https://www.avito.ma/thumbs/48/4895138831.jpg,Marrakech,Hier,Annonce de professionnel,17 500
 Neos Yamaha -2012 ,https://www.avito.ma/thumbs/66/6625042112.jpg,Marrakech,5 Jan,Annonce de professionnel,17 500
 suzuki marti -2006 ,https://www.avito.ma/thumbs/45/4519713811.jpg,Casablanca,24 Mar,Annonce de professionnel,17 500
 neos -2015 ,https://www.avito.ma/thumbs/43/4306181282.jpg,Marrakech,22 Mar,Annonce de professionnel,17 500
 Benelli txm italy -2017 ,https://www.avito.ma/thumbs/41/4106964967.jpg,Tamesna,20 Mar,Annonce de professionnel,17 500
 fiat syana -2001 ,https://www.avito.ma/thumbs/39/3925065488.jpg,Tanger,18 Mar,Annonce de professionnel,18 000
 Super 5 -1985 ,https://www.avito.ma/thumbs/38/3899619290.jpg,Nador,17 Mar,Annonce de professionnel,18 000
 Super 5 -1986 ,https://www.avito.ma/thumbs/27/2723591593.jpg,Meknès,6 Mar,Annonce de professionnel,18 000
 tw yamaha -2004 ,https://www.avito.ma/thumbs/37/3737713375.jpg,Berkane,11 Mar,Annonce de professionnel,18 000
 Kayak à pédales de pêche ,https://www.avito.ma/thumbs/22/2246274694.jpg,Casablanca,1 Mar,Annonce de professionnel,18 000
 بيجو 205 بنزين -1986 ,https://www.avito.ma/thumbs/15/1569382768.jpg,Sidi Bennour,23 Fév,Annonce de professionnel,18 000
 Vespa primavera 50 -2015 ,https://www.avito.ma/thumbs/03/0367871910.jpg,Safi,11 Fév,Annonce de professionnel,18 000
 uno essence -1994 ,https://www.avito.ma/thumbs/91/9176161928.jpg,Mohammedia,30 Jan,Annonce de professionnel,18 000
 Piaggio Liberty 4t -2019 ,https://www.avito.ma/thumbs/85/8596500348.jpg,Casablanca,24 Jan,Annonce de professionnel,18 000
 Super 5 -1988 ,https://www.avito.ma/thumbs/84/8485005339.jpg,Casablanca,23 Jan,Annonce de professionnel,18 000
 محراث كوميكوم مزال مليح ,https://www.avito.ma/thumbs/84/8465875821.jpg,Lamkansa,23 Jan,Annonce de professionnel,18 000
 Sh 125 -2015 ,https://www.avito.ma/thumbs/84/8434607857.jpg,Casablanca,23 Jan,Annonce de professionnel,18 000
 pajero -2001 ,https://www.avito.ma/thumbs/78/7804228027.jpg,Casablanca,17 Jan,Annonce de professionnel,18 000
 Moteur Toyota raf 4 ,https://www.avito.ma/thumbs/65/6533537663.jpg,Mohammedia,4 Jan,Annonce de professionnel,18 000
 Yamaha3 ,https://www.avito.ma/thumbs/65/6545370910.jpg,Marrakech,4 Jan,Annonce de professionnel,18 000
 309 Peugeot -1987 ,https://www.avito.ma/thumbs/65/6527716939.jpg,Casablanca,4 Jan,Annonce de professionnel,18 000
 Rover -1997 ,https://www.avito.ma/thumbs/58/5843050256.jpg,Temara,28 Déc,Annonce de professionnel,18 000
 309 peugeot -1987 ,https://www.avito.ma/thumbs/57/5747785222.jpg,Casablanca,27 Déc,Annonce de professionnel,18 000
 super 5 -1988 ,https://www.avito.ma/thumbs/04/0490184471.jpg,Casablanca,12 Fév,Annonce de professionnel,18 500
 Fiat Uno -1985 ,https://www.avito.ma/thumbs/02/0258589731.jpg,Salé,11 Fév,Annonce de professionnel,18 500
 moto -2014 ,https://www.avito.ma/thumbs/02/0290526938.jpg,Fès,10 Fév,Annonce de professionnel,18 500
 fiat uno -1985 ,https://www.avito.ma/thumbs/02/0298576981.jpg,Salé,10 Fév,Annonce de professionnel,18 500
 honda sh 150cc -2012 ,https://www.avito.ma/thumbs/45/4546844886.jpg,Casablanca,24 Mar,Annonce de professionnel,19 000
 Peugeot 205 mzot -1983 ,https://www.avito.ma/thumbs/43/4303722037.jpg,Marrakech,22 Mar,Annonce de professionnel,19 000
 nissan -1997 ,https://www.avito.ma/thumbs/12/1278028987.jpg,Kénitra,20 Fév,Annonce de professionnel,19 000
 kiya asiya -2000 ,https://www.avito.ma/thumbs/10/1023320470.jpg,Souk Sebt Ouled Nemma,18 Fév,Annonce de professionnel,18 000
 اونو -1985 ,https://www.avito.ma/thumbs/10/1093136241.jpg,Kénitra,18 Fév,Annonce de professionnel,18 000
 Uno -1992 ,https://www.avito.ma/thumbs/92/9257241679.jpg,Sidi Rahal Chatai,31 Jan,Annonce de professionnel,19 000
 aa qwqqwwwww -1992 ,https://www.avito.ma/thumbs/92/9222095623.jpg,Sidi Rahal Chatai,31 Jan,Annonce de professionnel,19 000
 Yamaha 3 -2001 ,https://www.avito.ma/thumbs/91/9187273400.jpg,Marrakech,30 Jan,Annonce de professionnel,19 000
 Toyota STARLET -1998 ,https://www.avito.ma/thumbs/58/5810192242.jpg,Casablanca,28 Déc,Annonce de professionnel,19 000
 moto cross beta italy blaka sghira -2018 ,https://www.avito.ma/thumbs/49/4999047299.jpg,Fès,19 Déc,Annonce de professionnel,19 000
 205 Peugeot -1991 ,https://www.avito.ma/thumbs/91/9152657381.jpg,Casablanca,30 Jan,Annonce de professionnel,19 500
 Moteurs honda accord civic ,https://www.avito.ma/thumbs/45/4533849231.jpg,Casablanca,Hier,Annonce de professionnel,20 000
 رونو -1989 ,https://www.avito.ma/thumbs/86/8672222353.jpg,Agadir,25 Jan,Annonce de professionnel,19 500
 Yamaha Aerox -2015 ,https://www.avito.ma/thumbs/84/8418887262.jpg,Marrakech,23 Jan,Annonce de professionnel,19 500
 peugeot 309 -1988 ,https://www.avito.ma/thumbs/37/3794531742.jpg,Settat,16 Mar,Annonce de professionnel,20 000
 Motocross CRF 250 -2009 ,https://www.avito.ma/thumbs/32/3290533261.jpg,Agadir,11 Mar,Annonce de professionnel,20 000
 Vespa primavera 50 -2019 ,https://www.avito.ma/thumbs/32/3236529908.jpg,Casablanca,11 Mar,Annonce de professionnel,20 000
 R11 -1985 ,https://www.avito.ma/thumbs/28/2838250091.jpg,Fès,7 Mar,Annonce de professionnel,20 000
 slider yamaha -2016 ,https://www.avito.ma/thumbs/28/2882029801.jpg,Marrakech,7 Mar,Annonce de professionnel,20 000
 309 peugeot -1989 ,https://www.avito.ma/thumbs/27/2782489714.jpg,Casablanca,6 Mar,Annonce de professionnel,20 000
 سيطروين axللبيع -1994 ,https://www.avito.ma/thumbs/22/2258343077.jpg,Kénitra,1 Mar,Annonce de professionnel,20 000
 Peugeot 309 -2020 ,https://www.avito.ma/thumbs/18/1809896685.jpg,Agadir,26 Fév,Annonce de professionnel,20 000
 205 Peugeot -2000 ,https://www.avito.ma/thumbs/18/1889054461.jpg,Imouzzer-Kendar,26 Fév,Annonce de professionnel,20 000
 Renault R12 -1984 ,https://www.avito.ma/thumbs/18/1849736454.jpg,Meknès,26 Fév,Annonce de professionnel,20 000
 mercedes -1983 ,https://www.avito.ma/thumbs/18/1884790748.jpg,Casablanca,26 Fév,Annonce de professionnel,20 000
 بريصة جوندير 342 -2013 ,https://www.avito.ma/thumbs/18/1823791174.jpg,El Jadida,26 Fév,Annonce de professionnel,20 000
 Aerox yamaha -2015 ,https://www.avito.ma/thumbs/14/1448585965.jpg,Mohammedia,22 Fév,Annonce de professionnel,20 000
 Peugeot 405 Diesel -1995 ,https://www.avito.ma/thumbs/08/0827664788.jpg,Marrakech,16 Fév,Annonce de professionnel,20 000
 Peugeot 205 -1986 ,https://www.avito.ma/thumbs/07/0761527096.jpg,Casablanca,15 Fév,Annonce de professionnel,20 000
 Fiat Un diésel -2002 ,https://www.avito.ma/thumbs/97/9740821623.jpg,Rabat,5 Fév,Annonce de professionnel,20 000
 Uno -1996 ,https://www.avito.ma/thumbs/97/9707482119.jpg,Mohammedia,5 Fév,Annonce de professionnel,20 000
 205 essence -1986 ,https://www.avito.ma/thumbs/97/9756007093.jpg,Fès,5 Fév,Annonce de professionnel,20 000
 Peugeot 205 -1997 ,https://www.avito.ma/thumbs/97/9703033840.jpg,Casablanca,5 Fév,Annonce de professionnel,20 000
 Peugeot 309 -1986 ,https://www.avito.ma/thumbs/85/8500930054.jpg,Marrakech,24 Jan,Annonce de professionnel,20 000
 Peugeot -1989 ,https://www.avito.ma/thumbs/85/8520708158.jpg,Casablanca,24 Jan,Annonce de professionnel,20 000
 Peugeot 309 -1989 ,https://www.avito.ma/thumbs/85/8531038029.jpg,Casablanca,24 Jan,Annonce de professionnel,20 000
 nitro nouveau -2015 ,https://www.avito.ma/thumbs/84/8417385909.jpg,Casablanca,24 Jan,Annonce de professionnel,20 000
 Renault -1999 ,https://www.avito.ma/thumbs/73/7373249078.jpg,Agadir,12 Jan,Annonce de professionnel,20 000
 Vespa neuve -2016 ,https://www.avito.ma/thumbs/66/6684650729.jpg,Casablanca,5 Jan,Annonce de professionnel,20 000
 Uno mazot -1995 ,https://www.avito.ma/thumbs/69/6925665812.jpg,Casablanca,8 Jan,Annonce de professionnel,20 000
 STARLET -1999 ,https://www.avito.ma/thumbs/68/6804876181.jpg,Settat,8 Jan,Annonce de professionnel,20 000
 سيارة مزيانا و اقتصادية -1988 ,https://www.avito.ma/thumbs/02/0236341103.jpg,Ksar el-Kebir,9 Fév,Annonce de professionnel,20 000
 Peugeot 205 -2010 ,https://www.avito.ma/thumbs/58/5866546589.jpg,Nador,28 Déc,Annonce de professionnel,20 000
 Renault R4 -1989 ,https://www.avito.ma/thumbs/52/5272797679.jpg,Rabat,22 Déc,Annonce de professionnel,20 000
 R4 essence -1989 ,https://www.avito.ma/thumbs/52/5219453210.jpg,Rabat,22 Déc,Annonce de professionnel,20 000
 Renault R4 -1989 ,https://www.avito.ma/thumbs/52/5288178013.jpg,Rabat,22 Déc,Annonce de professionnel,20 000
 Aerox Nitro -2016 ,https://www.avito.ma/thumbs/38/3885829987.jpg,Casablanca,18 Mar,Annonce de professionnel,21 000
 buggy -2014 ,https://www.avito.ma/thumbs/38/3896142327.jpg,Agadir,17 Mar,Annonce de professionnel,21 000
 super 5 diesel -1994 ,https://www.avito.ma/thumbs/37/3723804481.jpg,Ben Guerir,17 Mar,Annonce de professionnel,21 000
 SH faracha 150 -2012 ,https://www.avito.ma/thumbs/28/2832641762.jpg,Casablanca,7 Mar,Annonce de professionnel,21 000
 Yamaha 300 -2004 ,https://www.avito.ma/thumbs/87/8792789169.jpg,Bouznika,26 Jan,Annonce de professionnel,21 000
 Renault -1993 ,https://www.avito.ma/thumbs/53/5399686385.jpg,Oujda,23 Déc,Annonce de professionnel,21 000
 Yamaha Aerox -2015 ,https://www.avito.ma/thumbs/03/0349296151.jpg,Casablanca,11 Fév,Annonce de professionnel,21 500
 Fiat Uno occasion -1996 ,https://www.avito.ma/thumbs/97/9757848707.jpg,Safi,5 Fév,Annonce de professionnel,21 500
 Aerox 2017 -2019 ,https://www.avito.ma/thumbs/95/9520563193.jpg,Casablanca,3 Fév,Annonce de professionnel,21 500
 Daewoo espero -2005 ,https://www.avito.ma/thumbs/37/3770749764.jpg,Tanger,16 Mar,Annonce de professionnel,22 000
 Honda CB 250 Night hawk -2004 ,https://www.avito.ma/thumbs/32/3299912412.jpg,Casablanca,11 Mar,Annonce de professionnel,22 000
 Véspa -2017 ,https://www.avito.ma/thumbs/37/3785892939.jpg,Tanger,16 Mar,Annonce de professionnel,22 000
 Aprilia leonardo 250 -2002 ,https://www.avito.ma/thumbs/32/3265339669.jpg,Casablanca,11 Mar,Annonce de professionnel,22 000
 Suzuki -1986 ,https://www.avito.ma/thumbs/27/2735765101.jpg,Safi,6 Mar,Annonce de professionnel,22 000
 205 Peugeot -1989 ,https://www.avito.ma/thumbs/23/2388788126.jpg,Agadir,2 Mar,Annonce de professionnel,22 000
 makina lglase -2012 ,https://www.avito.ma/thumbs/18/1883261566.jpg,Agadir Melloul,26 Fév,Annonce de professionnel,22 000
 Yamaha aerox nitro -2015 ,https://www.avito.ma/thumbs/18/1837249472.jpg,Rabat,26 Fév,Annonce de professionnel,22 000
 super5 n9iya -1990 ,https://www.avito.ma/thumbs/15/1544250044.jpg,Tiznit,23 Fév,Annonce de professionnel,22 000
 Fiat uno a bonne etat -1996 ,https://www.avito.ma/thumbs/18/1806587799.jpg,Er-Rich,26 Fév,Annonce de professionnel,22 000
 yamaha neo's -2019 ,https://www.avito.ma/thumbs/09/0969861620.jpg,Casablanca,17 Fév,Annonce de professionnel,22 000
 Fiat uno -2001 ,https://www.avito.ma/thumbs/15/1526613604.jpg,El Jadida,23 Fév,Annonce de professionnel,22 000
 309 Diesel -1992 ,https://www.avito.ma/thumbs/09/0982649694.jpg,Nouaceur,17 Fév,Annonce de professionnel,22 000
 fiat uno brazilia -2006 ,https://www.avito.ma/thumbs/99/9977498823.jpg,Fès,7 Fév,Annonce de professionnel,22 000
 Super 5 -1986 ,https://www.avito.ma/thumbs/99/9938725258.jpg,Casablanca,7 Fév,Annonce de professionnel,22 000
 stunt Naked -2018 ,https://www.avito.ma/thumbs/04/0426026557.jpg,Casablanca,12 Fév,Annonce de professionnel,22 000
 deux mbk nitro -2016 ,https://www.avito.ma/thumbs/04/0421091578.jpg,Rabat,12 Fév,Annonce de professionnel,22 000
 Super 5 diesel -1987 ,https://www.avito.ma/thumbs/90/9067068483.jpg,Meknès,29 Jan,Annonce de professionnel,22 000
 renault -1993 ,https://www.avito.ma/thumbs/79/7945809312.jpg,Outat El Haj,18 Jan,Annonce de professionnel,22 000
 fiat uno -2001 ,https://www.avito.ma/thumbs/79/7913816447.jpg,Casablanca,18 Jan,Annonce de professionnel,22 000
 Peugeot 405 -1993 ,https://www.avito.ma/thumbs/74/7413473426.jpg,Oujda,13 Jan,Annonce de professionnel,22 000
 405 familia -1993 ,https://www.avito.ma/thumbs/74/7418912636.jpg,Oujda,13 Jan,Annonce de professionnel,22 000
 R9 essence -1982 ,https://www.avito.ma/thumbs/69/6929816064.jpg,Nador,8 Jan,Annonce de professionnel,22 000
 fiât Uno essence -1997 ,https://www.avito.ma/thumbs/69/6988915301.jpg,Casablanca,8 Jan,Annonce de professionnel,22 000
 Vespa 50cc 2t -2016 ,https://www.avito.ma/thumbs/68/6823085934.jpg,Tanger,8 Jan,Annonce de professionnel,22 000
 motor sh 125 -2012 ,https://www.avito.ma/thumbs/58/5834915684.jpg,Tanger,28 Déc,Annonce de professionnel,22 000
 suzuki -2008 ,https://www.avito.ma/thumbs/50/5050892438.jpg,Casablanca,20 Déc,Annonce de professionnel,22 000
 voiture -1998 ,https://www.avito.ma/thumbs/50/5062987608.jpg,Souk El Arbaa,20 Déc,Annonce de professionnel,22 000
 Bmw 324 tds -1994 ,https://www.avito.ma/thumbs/50/5064387882.jpg,Casablanca,20 Déc,Annonce de professionnel,22 000
 super 5 essence -1994 ,https://www.avito.ma/thumbs/10/1029063837.jpg,Meknès,18 Fév,Annonce de professionnel,22 500
